a0_m10_mission_name,Zu Hause
a4_m34_objectives_collect,Maas-Schiffe überfallen und Kampffahrzeuge erbeuten 
a4_m34_objectives_deliver,Fahrzeuge über Handelsschnittstelle gegen Schusswaffen eintauschen 

a4_m35_objectives_goto,
a4_m35_objectives_collect,Überlebensausrüstung für die MCA finden
a4_m35_objectives_deliver,Ware persönlich in Ritz abliefern



gm_text_jafs_you_deliver_this,"Cal, diese Lieferung musst du selbst übernehmen. Schau mal in deine E-Mails!","HW: Belongs to the generated missions, but cannot be integrated into any particular file, as it will be used in several instances. (Note: GB audio doesn't exist for this file.) "




a4_m01_mission_name,Erz gesucht,
a4_m02_mission_name,Gefälschte Ware 
a4_m03_mission_name,Gardener
a4_m04_mission_name,Oman Spezialmetalle
a4_m05_mission_name,Oman Kraftwerk
a4_m06_mission_name,Gasausstoß
a4_m07_mission_name,Gerechte Belohnung
a4_m08_mission_name,Der Lauf der Dinge
a4_m09_mission_name,Gefängnisdaten
a4_m10_mission_name,Fleischdelikatessen
a4_m11_mission_name,Eine Hand voll Nanos
a4_m12_mission_name,Ausleihgebühr
a4_m13_mission_name,Medizinische Hilfe
a4_m14_mission_name,Waffenbeschaffer
a4_m15_mission_name,Gutachten
a4_m16_mission_name,Der Freak
a4_m17_mission_name,Altersschwache Cyborgs
a4_m18_mission_name,Goldrausch
a4_m19_mission_name,Big Jacks Juwelen
a4_m20_mission_name,Bau einer Station
a4_m21_mission_name,Unehrliche Polizisten
a4_m22_mission_name,Marauder-Händler
a4_m23_mission_name,Pirat der Oman
a4_m24_mission_name,Gerechtigkeit für die Oman
a4_m25_mission_name,Ansteckungsgefahr
a4_m26_mission_name,Waffen für die Oman
a4_m27_mission_name,Die Ehre der Oman
a4_m28_mission_name,Fehlfunktion
a4_m29_mission_name,Technologie für die Oman
a4_m30_mission_name,Standesgemäße Feier
a4_m31_mission_name,Ausgrabungen
a4_m32_mission_name,Terraformen eines Planeten
a4_m33_mission_name,Seuchenausbruch bei der MCA
a4_m34_mission_name,Unsere Bodentruppen
a4_m35_mission_name,Auf Nummer sicher gehen
