; FILE NAMEFAct2_master.csv,FRENCH
a2_master_dialogue_clay_firefrost_be_careful_in_this_system_cal,"Ta grand-mère et moi, on a passé un moment ici à Firefrost. C'est tellement grand qu'on pourrait y perdre une douzaine d'escadres. C'était parfait pour jouer profil bas quand ça chauffait. En parlant de chaleur, ne t'approche pas trop de l'étoile principale. Fais comme tout le monde et reste à la périphérie du système."
a2_master_dialogue_clay_keep_your_eyes_peeled,"Garde aussi l'oeil ouvert côté pirates. La loi ne régnait pas à Firefrost du temps de ta grand-mère, et ça m'étonnerait qu'il y ait eu une épidémie d'honnêteté depuis."
a2_master_dialogue_clay_dont_worry_if_your_electronics,"Oh, et ne t'inquiète pas si l'électronique délire un peu. Il y a un bruit de fond de radiations énorme par ici."
a2_master_dialogue_cal_spare_the_lecture_clay,"Arrête les cours, Clay. Au cas où tu n'aurais pas remarqué, je suis un grand garçon."
a2_master_dialogue_clay_hey_kid_just_offering_a_little_advice,"Eh, fiston, je t'offre juste des conseils. Tu te prends peut-être pour un champion sur ton bolide spatial, mais Firefrost n'est pas pour les gamins. Et c'est ton premier séjour ici."
a2_master_dialogue_cal_im_sorry_youre_right_youve_been_here_before,"Désolé. T'as raison. Alors, où doit aller le petit nouveau du système ?"
a2_master_dialogue_clay_ok_thats_more_like_it,"Je préfère ça. Un peu de respect ne fait de mal à personne. Eh bien, du temps de ta grand-mère, l'endroit où traînaient les indépendants locaux était le club Blue Note, autour de Hyrokkin Beta. C'est une des planètes de l'étoile Firefrost III."
a2_master_dialogue_cal_sounds_as_good_a_place,Ce n'est pas plus mal qu'ailleurs pour commencer à chercher.
a2_master_dialogue_clay_me_and_your_grandma_didnt_spend_much_time_here,"Ta grand-mère et moi, on n'a pas passé beaucoup de temps dans le système Kompira. Juste assez pour voir à quel point c'est pourri. Les planètes sont soit des fournaises, soit des boules de glace, et les clans locaux sont les pires qu'on puisse rencontrer dans tout l'Amas. Ca mérite le titre de coin le plus déprimant des Badlands, et peut-être même de tout l'espace connu."
a2_master_dialogue_cal_ever_thought_of_a_career_as_a_travel_guide,Tu as déjà pensé à une carrière de guide touristique ? T'es vraiment doué pour ça.
a2_master_dialogue_clay_this_is_santa_romera,"Voici Santa Romera, la capitale de l'Amas des Badlands. Fais gaffe ici, Cal, ça regorge de flics et de sécurité corpo. On n'apprécie pas trop les pirates dans le coin."
a2_master_dialogue_smith_ah_cal_got_something_here_you_might_be_interested_in,"Ah, Cal, j'ai bidouillé un peu et je suis tombé sur un truc qui pourrait t'intéresser..."
a2_master_dialogue_cal_dont_tell_me_youve_re_wired_the_coffee_machine_again,Ne me dis pas que tu as encore reconstruit la machine à café. J'ai eu un sale un goût dans la bouche pendant toute une semaine.
a2_master_dialogue_smith_better_than_that_ive_been_listening_to_sub_space_comms_channels,"Je te l'ai dit. C'était pas la machine à café. C'était le réchauffeur de lubrifiant pour ma prothèse de bras. Bon, j'ai espionné les canaux de comms spatiales, et je crois que j'ai trouvé quelque chose."
a2_master_dialogue_cal_listening_to_ther_folks_private_conversations,"Ce n'est pas pour une histoire d'écoutes que tu as atterri en prison, Smith ?"
a2_master_dialogue_smith_yeah_but_this_is_sweet,"Ouais. Et alors ? Bon, je séparais les meilleures transmissions de tous les trucs lourds... tu sais, la bourse, les infos, tous les messages avec 'Coucou Maman', et je me suis aperçu que certaines de ces transmissions employaient un canal supplémentaire. Et crypté avec la toute dernière technologie. Sûrement militaire. Je me suis penché sur leur schéma de transmission et, devine quoi ? Tous ces messages viennent de zones infestées de Marauders ou sur le point de l'être."
a2_master_dialogue_cal_so_what_do_these_messages_say,Que disent ces messages ? Est-ce qu'on peut les décrypter ?
a2_master_dialogue_smith_well_theres_the_problem,"C'est bien le problème. Impossible de les déchiffrer avant de mettre la main sur un des appareils de cryptage. Le mieux que je puisse faire pour l'instant est de savoir quand un message Marauder est envoyé pas loin. Je peux modifier tes systèmes de comms pour rechercher ces messages cachés, ce qui devrait nous prévenir que des Marauders opèrent dans un rayon de, disons, 500 kilomètres."
a2_master_dialogue_cal_well_thats_better_than_nothing,"C'est mieux que rien. Bien joué, Smith. Modifie mon système de comms. Ca ne fait jamais de mal de savoir si l'ennemi est là."
a2_master_dialogue_smith_now_that_youve_retreived_that_marauder_encryption_device,"Maintenant que tu as récupéré cet appareil de cryptage Marauder, j'ai fait passer toutes mes informations sur leur canal caché aux binoclards de la League. Ces experts ont peut-être le temps et les moyens de s'amuser avec de la cryptographie, mais pas moi."
a2_master_dialogue_clay_the_blue_note_social,"Le voilà. Le club Blue Note. A l'époque de ta grand-mère, tous les mecs un peu importants devaient s'y montrer. Je pourrais t'en raconter, des histoires..."
a2_master_dialogue_cal_save_it,"Plus tard, Clay. On dirait que ça ne s'est pas arrangé avec le temps. Mais ça a l'air plus calme que tu l'annonçais..."
a2_master_dialogue_mariana_welcome_to_the_blue_note_social_can_i_help_you,"Bienvenue au Blue Note. Qu'est-ce que je peux faire pour toi, beau gosse ?"
a2_master_option_cal_im_looking_for_help_in_fighting_the_marauders,Je cherche de l'aide pour combattre les Marauders...
a2_master_dialogue_cal_im_looking_for_help_in_fighting_the_marauders,Je cherche de l'aide pour combattre les Marauders à la Faille de Hoffer.
a2_master_dialogue_cal_im_looking_to_recruit_pilots,Je voudrais recruter quelques bons pilotes.
a2_master_dialogue_mariana_wouldnt_know_about_that_speak_to_the_sherrif,"Ca, je n'y connais rien. Tu ferais mieux d'en parler au Shérif."
a2_master_dialogue_cal_where_can_i_find_this_sherriff,"Où est-ce que je peux le trouver, ce Shérif ?"
a2_master_dialogue_cal_kind_of_quiet,C'est plutôt calme par ici.
a2_master_dialogue_mariana_well_your_freind_aint_been_here_for_some_time,"Ce club était toujours bondé dans le temps. Maintenant, je vais probablement devoir fermer si les affaires ne reprennent pas."
a2_master_dialogue_cal_so_where_did_everyone_go,Où sont-ils tous passés ?
a2_master_dialogue_mariana_guess_folks_have_more_important_things_on_their_mind,"Soit les gens montent la garde contre les Marauders, soit ils ont été ruinés par les attaques des Marauders, soit ils ont été tués par les Marauders. J'espère que la bande du Shérif va les exterminer ! On pourra refaire la fête ici !"
a2_master_dialogue_cal_a_freind_of_mine,"Un de mes amis venait souvent ici, mais ça a l'air plus calme que dans ses souvenirs."
a2_master_dialogue_cal_tell_me_about_firefrost,Parlez-moi de Firefrost.
a2_master_dialogue_mariana_well_as_youve_seen_this_is_one_big_system,"Eh bien, comme tu l'as vu, Firefrost est un sacré gros système. Mais il n'a pas l'ombre de la population des autres systèmes. C'est assez cruel par ici, surtout pour les imprudents. Les gens qui choisissent de vivre ici sont durs à cuire, désespérés, ou les deux. Récemment, les choses sont devenues encore plus dangereuses à cause de l'arrivée des Marauders. Voyager dans une bonne part du système intérieur était déjà risqué, mais maintenant c'est carrément du suicide."
a2_master_dialogue_cal_goodbye,Au revoir.
a2_master_dialogue_mariana_ok_be_seeing_you,"D'accord, à la prochaine, beau gosse."
a2_master_dialogue_mariana_anything_else,Autre chose ?
a2_master_dialogue_clay_well_i_guess_this_is_the_sherrifs_place,On dirait que c'est la bicoque du Shérif. On s'amarre et on va voir s'il est là ?
a2_master_dialogue_kane_what_can_i_do_for_you_boy,"Salut. Je suis le Shérif Kane. Qu'est-ce que je peux faire pour vous, mon garçon ?"
a2_master_dialogue_kane_id_like_to_help_you_boy,"Eh bien, j'aimerais bien pouvoir vous aider, mon garçon, ça c'est sûr. Mais nous aussi on a des problèmes, de sacrés problèmes."
a2_master_dialogue_cal_what_troubles,Quel genre de problèmes ?
a2_master_dialogue_kane_well_boy_we_got_ourselves_hurt_real_bad,"Eh bien, cette vermine de Marauders nous a porté de sales coups. Ils ont détruit près d'une demi-douzaine de propriétés dans le système et anéanti deux patrouilles expédiées à leurs trousses. Ce système n'est pas comme les autres : on n'a pas de police ou de garnison de marine. On doit se débrouiller par nous-mêmes. J'organise une autre patrouille pour leur faire payer. J'vais vous dire... Puisque vous détestez les Marauders, je vous laisse venir avec nous."
a2_master_dialogue_cal_sure,"Bien sûr, où est-ce qu'on signe ?"
a2_master_dialogue_kane_thats_ma_boy_you_scrath_our_back,"Parfait, mon garçon. On n'oubliera pas de sitôt votre aide. Voilà le plan : on va aller patrouiller quelques zones où on a vu ces Marauders, et on on leur frottera la couenne si on les trouve ! Ma patrouille se rassemble près de la lune de Fort Brooklyn autour de la planète Gefjon. Pendons-les haut et court !"
a2_master_dialogue_cal_im_busy,"Désolé, mais je suis occupé en ce moment..."
a2_master_dialogue_kane_suit_yourself,Comme vous voudrez. Bonne chance contre les Marauders de votre côté.
a2_master_dialogue_cal_tell_me_about_this_mission,Parlez-moi de cette patrouille que vous organisez.
a2_master_dialogue_kane_were_getting_a_posse_together,"On monte une patrouille pour éclater des Marauders et en traîner un ou deux en justice. Si vous voulez en être, rejoignez les autres à Fort Brooklyn. C'est une lune de la planète Gefjon. On va visiter les coins où on a vu des Marauders, et leur botter les fesses !"
a2_master_dialogue_cal_people_around_here_seem_to_think_youre_in_charge_of_the_system,Les gens d'ici disent que vous dirigez ce système.
a2_master_dialogue_kane_hell_no_boy,"Oh, ça non, mon gars ! Personne ne dirige Firefrost. C'est la foire d'empoigne, ici. Moi, je me contente d'essayer d'éviter l'anarchie totale."
a2_master_dialogue_kane_this_is_the_plum_biggest,"Eh bien, c'est le plus gros système de l'espace connu. Il y a déjà plus de trois cents planètes au catalogue, et ça se limite aux endroits qu'on peut explorer. Vous voyez, l'étoile principale de Firefrost est une bestiole aussi chaude et radioactive que l'enfer. C'est pour ça que les gens restent plutôt à la périphérie du système. On a une sale réputation de ville-frontière, et elle est méritée. Il y a des mecs ici qui se feraient virer de n'importe quelle autre ville. Mais quand même, les gens de Firefrost se serrent les coudes. Il y a eu des bagarres, mais rien de très sérieux. Jusqu'à ce que ces maudits Marauders se pointent."
a2_master_dialogue_kane_well_what_do_ya_wanna_know,"Eh bien, qu'est-ce que vous voulez savoir ?"
a2_master_dialogue_kane_well_were_all_fighting_the_marauders_boy_i_appreciate_you_helping_us,"Et bien, on se bat tous contre les Marauders. Ces putois s'attaquent à tout le monde. J'aimerais bien vous aider, vraiment. Mais je ne peux pas me passer d'un seul vaisseau en ce moment. Désolé, fiston. Tant qu'on n'aura pas réglé cette histoire de Marauders, on ne pourra vous offrir que des échanges."
a2_master_dialogue_kane_ive_heard_on_the_grapeving_that_there_was_gonna_be_a_big_rukus,"J'avais entendu dire que quelqu'un commençait à chercher des crosses aux Marauders. Si on pouvait leur coller une raclée ! Eh bien, si vos potes MCA ont besoin de pilotes, nous on en a quelques-uns, et des meilleurs. Moi et une centaine de mes meilleurs garçons, on sera vos hommes !                                          "
a2_master_dialogue_kane_anything_else_boy,"Autre chose, mon garçon ?"
a2_master_dialogue_third_way_get_lost_1,"Vaisseau non-identifié, sachez que cette station est la propriété de la Third Way Organisation, qui représente le peuple supérieur des Badlands. Vous violez notre espace aérien. Quittez cette zone immédiatement, membre des castes inférieures. "
a2_master_dialogue_third_way_get_lost_2,"Vous avez pénétré dans l'espace aérien de la Third Way Organisation. Quittez cette zone immédiatement, membre des castes inférieures."
a2_master_dialogue_third_way_get_lost_3,"Membre des castes inférieures, vous avez violé l'espace aérien de la Third Way Organisation. N'approchez pas de cette station ou des mesures préventives SERONT prises."
a2_master_dialogue_third_way_please_go_away_1,"Toute aide à la Third Way ne rend pas votre présence plus acceptable, membre des castes inférieures. Quittez ce secteur."
a2_master_dialogue_third_way_please_go_away_2,"Les attaques des Marauders ne gênent plus nos envois de nourriture. Votre présence n'est plus nécessaire, membre des castes inférieures. Veuillez quitter le secteur."
a2_master_dialogue_third_way_please_go_away_3,Nous considérons toute aide des castes inférieures comme inutile. Veuillez quitter le secteur.
a2_master_dialogue_cal_now_you_just_listen_here,"Ecoute-moi bien, mon pote. Ca va bien, les conneries. Vous autres culs-terreux prétentieux et fanatiques devriez commencer à piger qu'il y une guerre en ce moment, et que si on ne se serre pas les coudes, les Marauders vont la gagner. Maintenant, on a besoin de pilotes pour combattre. Si vous ne nous aidez pas, on s'en ira et on laissera les Marauders vous laminer. Pigé ?"
a2_master_dialogue_clay_ungrateful_sons_of_bitches,"Lâches et ingrats. On les aide à botter le cul des Marauders, et voilà comment on est remercié..."
a2_master_dialogue_third_way_erm_got_to_the_headquarters,"Euh... Je ne suis pas habilitée à ... Euh, discuter de ça avec un membre d'une, euh, d'une caste inférieure. Si vous désirez aborder ce sujet, il vous faudra parler aux anciens. A l'administration du système, en orbite autour de la planète Eureka."
a2_master_dialogue_third_way_elders_go_away,"Comme nous l'avons déjà indiqué, votre présence dans ce système constitue une intrusion envers notre harmonie pastorale. Vous n'êtes pas les bienvenus ici ou dans le reste d'Eureka. Veuillez partir."
a2_master_dialogue_cal_just_a_damn_minute,"Attendez une minute. J'ai des problèmes sérieux à discuter, qui touchent de près à la sécurité de votre système. Je traîne depuis un moment dans ce système paumé en me faisant insulter par des culs-terreux qui se prennent pour des demi-dieux. Maintenant, je peux retourner voir mes alliés pour leur dire de vous laisser vous débrouiller avec les Marauders. On verra si les traiter de 'castes inférieures' vous protègera ! Ou alors, je peux rester et discuter des moyens de vous protéger. A vous de choisir."
a2_master_dialogue_third_way_elders_i_find_you_tone_insulting_and_offensive,"Je trouve votre ton insultant et déplacé ! Mais... Si vous désirez parler de sujets pouvant servir la Third Way, je pourrai oublier vos infractions. Amarrez-vous et nous jugerons de la valeur de vos paroles."
a2_master_dialogue_third_way_elders_we_have_provided_you_with_pilots_to_defeat_the_marauders,Peu de castes inférieures ont reçu l'aide de la Third Way. Vous pouvez vous estimer privilégié.
a2_master_dialogue_third_way_elders_so_what_do_you_wish_to_discuss,Vous êtes vraiment une personne de caste inférieure obstinée et ennuyeuse. Que voulez-vous ?
a2_master_dialogue_cal_mwari_needs_third_way_pilots,Mwari a besoin de pilotes.
a2_master_dialogue_cal_mwari_is_where_the_decisive_battle_agaisnt_the_marauders,"Il est temps de payer vos dettes envers nous pour avoir chassé les Marauders d'Eureka. Mwari a besoin de pilotes pour combattre les Marauders, et il nous faut un contingent de la Third Way."
a2_master_dialogue_third_way_elders_is_that_so_a_little_respect,"Vraiment, membre des castes inférieures ? Comment osez-vous exiger quelque chose de ceux qui vous sont supérieurs ?"
a2_master_dialogue_cal_i_apoligise_for_my_harsh_words,Désolé pour mes propos un peu durs.
a2_master_dialogue_cal_i_apoligise_for_the_harshenss_of_my_words,"Je vous demande d'excuser mon langage, mais la situation presse et les politesses devront attendre. Les Marauders se préparent à lancer une attaque massive sur le système Mwari, et nous avons besoin de soutiens pour le défendre."
a2_master_dialogue_third_way_elders_this_is_perhaps_appreciated,Merci... peut-être. Mais quel est le rapport avec la Third Way ?
a2_master_dialogue_cal_im_sorry_for_offending_you,Désolé de vous avoir offensé, ça n'arrivera plus.
a2_master_dialogue_third_way_elders_only_to_be_expected,"C'est bien le moins. Encore que je doute que vous puissiez tenir cette promesse. Vous, gens des castes inférieures, offensez la Third Way par votre seule présence. Vous êtes écoeurants."
a2_master_dialogue_cal_only_the_third_way_can_help,La Third Way est la seule faction capable d'apporter une aide.
a2_master_dialogue_cal_only_the_third_way_can_help_the_sitation,"Seule la Third Way peut nous aider. Mwari a besoin de pilotes du meilleur niveau pour combattre la menace Marauder. Votre discipline et votre dévouement vous permettent de fournir ce type de personnels. Nous ne attendons pas à ce que vous agissiez par bonté d'âme. Mais sachez que si Mwari devait tomber, les Marauders n'en seraient que plus forts, et votre système pourrait bien être la prochaine cible de leur volonté de mainmise sur les Badlands."
a2_master_dialogue_cal_your_arrogance_is_getting_us_nowhere_1,Votre arrogance ne nous avance à rien.
a2_master_dialogue_cal_your_arrogance_is_getting_us_nowhere_2,Votre arrogance ne nous avance à rien. Descendez un peu de vos grands chevaux et écoutez ! On a besoin de votre aide de toute urgence.
a2_master_dialogue_third_way_elders_im_listening_then_mr_johnstone_just_hope_its_worthwhile,"Je vous écoute, Monsieur Johnston. J'espère pour vous que ce que vous avez à dire mérite attention."
a2_master_dialogue_cal_tell_me_about_the_third_way,Parlez-moi de la Third Way.
a2_master_dialogue_third_way_elders_none_of_your_business,"La Third Way ne vous regarde en rien, membre des castes inférieures."
a2_master_dialogue_third_way_elders_how_dare_you_dock_to_this_station,Membre des castes inférieures ! Comment osez-vous souiller notre station en vous y amarrant ! Retirez-vous immédiatement !
a2_master_dialogue_third_way_elders_you_are_an_niteresting_character_for_a_lower_caste,"Pour un membre des castes inférieures, vous êtes un personnage intéressant, Cal Johnston. Et une bonne part de ce que vous dites est vrai. Peut-être pourrions-nous vous fournir un certain nombre de pilotes. Mais seulement parce que les Marauders représentent une menace plus grande que la contamination idéologique que subiront nos pilotes au contact de vos chasseurs de castes inférieures. Nous vous fournirons une centaine de nos meilleurs pilotes. Maintenant, partez, Cal Johnston."
a2_master_dialogue_third_way_elders_good_riddance,Bon débarras.
a2_master_dialogue_clay_looks_like_the_locals_have_spotted_us,On dirait que les gens du coin nous ont repérés. J'espère qu'ils sont sympas...
a2_master_dialogue_freelancer_ho_there_stranger_heave_too,"Holà, étranger. Ici la milice de Coyote. Mettez en panne et identifiez-vous !"
a2_master_dialogue_clay_they_dont_look_like_marauders_perhaps_we_should_do_as_they_say,"Ces gars n'ont pas l'air de Marauders. On ferait mieux de faire ce qu'ils disent, mais garde un oeil ouvert au cas où ils tenteraient quelque chose."
a2_master_dialogue_freelancer_what_is_your_business_here,"Salut, étranger. On n'a pas beaucoup de visiteurs par ici. Et la plupart des étrangers qui viennent dans le coin cherchent les ennuis. Qu'est-ce que vous voulez ?"
a2_master_dialogue_freelancer_join_the_club_pal,"Bienvenue au club, mec ! Vous croyez que ça nous amuse de parcourir les Points-L pour embêter les nouveaux venus ? Les Marauders nous ont pourris. Plein de mecs bien y ont laissé leur peau."
a2_master_dialogue_freelancer_sright_we_aint_soliders,"C'est vrai, on n'est pas des soldats. On a juste été enrôlés pour les patrouilles par Freddie Jackson."
a2_master_dialogue_cal_freddie_jackson,Freddie Jackson ? C'est qui ?
a2_master_dialogue_freelancer_freddie_jackson_knows_more_about_the_goings_on_around_here,"Freddie Jackson en sait plus long que bien des gens sur ce qui se passe ici. C'est lui qui a eu l'idée de nous faire patrouiller les Points-L. Comme ça, on est pas surpris par les raids de Marauders. Si vous êtes nouveaux dans le coin, vous voudrez sûrement lui parler. Il est à son chantier naval, autour de Penacook."
a2_master_dialogue_freelancer_you_aint_just_gonna_let_him_go,"Eh, Cletus, tu vas pas le laisser filer comme ça ? Jackson nous a dit de fouiller tous les vaisseaux qui entrent ici."
a2_master_dialogue_freelancer_shoot_elmo_if_we_search_everything,"Cool, Elmo ! Si on fouille chaque vaisseau, on sera coincés ici jusqu'à la fin des temps. Est-ce qu'il a l'AIR d'un Marauder ? Non. Son vaisseau n'est pas peint en noir. Est-ce qu'il AGIT comme un Marauder ? Non. Il n'a pas essayé de nous flinguer."
a2_master_dialogue_freelancer_shoot_listen_to_this_feller_cleitus,"Ecoute ce mec, Elmo. On dirait qu'il nous prend pour des bidasses !"
a2_master_dialogue_freelancer_sure_think_he_does_elmo,"Ca, c'est vrai, Cletus."
a2_master_dialogue_freelancer_well_stranger_i_think_your_mistaken,"Eh bien, étranger, vous vous fourrez le doigt dans l'oeil si vous croyez qu'on a un chef. On est juste de braves gens qui se protègent des Marauders. Ce qui ressemblerait le plus à un chef, chez nous, ce serait le vieux Freddie Jackson."
a2_master_dialogue_freelancer_just_you_wait_one_minute_boy,"Eh, une minute, mon gars ! Comment être sûrs que vous n'êtes pas des Marauders ?"
a2_master_dialogue_cal_well_erm,"Eh bien, je..."
a2_master_dialogue_freelancer_ah_shoot_elmo_he_aint_not_marauder,"Ca va, Elmo, c'est pas un Marauder. Freddie Jackson a dit que tous les navires Marauders étaient peints en noir. En plus, tu crois pas qu'il nous aurait déjà allumés ?"
a2_master_dialogue_freelancer_guess_yer_lucky_boy,"Z'avez de la chance, mon vieux. Si d'après les critères de Jackson, vous n'êtes pas un Marauder, c'est que vous ne devez pas en être un. Le vieux Freddie n'est pas tombé de la dernière pluie, alors, pour moi, ça ira..."
a2_master_dialogue_accelerator_control_unidentified_ship_this_area_is_restricted_to_corporate_traffic_please_state_your_business,"Attention, appareil non-identifié. Cette zone est réservée au trafic corpo. Annoncez vos intentions immédiatement."
a2_master_dialogue_cal_just_signtseeing,Juste en balade.
a2_master_dialogue_accelerator_control_as_i_said_this_is_restricted_coporate,Cette zone est réservée aux corpos. Cet accélérateur est une installation privée. Interdit aux touristes. Quittez le secteur immédiatement.
a2_master_dialogue_clay_these_folks_aint_too_freindly,"Quand on sait que l'accélérateur est le seul moyen d'entrer et de sortir des Badlands, ils ne sont pas très hospitaliers. On dirait que les corpos veulent empêcher les gens normaux de se rendre dans les systèmes centraux."
a2_master_dialogue_cal_how_do_i_get_through_the_accelerator,Comment emprunte-t-on l'accélérateur ?
a2_master_dialogue_accelerator_control_in_a_word_buddy_you_dont,"Pas question, mon vieux ! Cet accélérateur de saut est une installation privée. Le passage est réservée aux cargos autorisés. Vous pouvez acheter un droit de passage. C'est trois MILLIONS de crédits ! Bien plus qu'un type comme vous n'en verra dans toute sa vie. Maintenant, dégagez avant que j'appelle la sécurité."
a2_master_dialogue_cal_just_want_to_know_about_the_accelerator,Je voudrais en savoir plus au sujet de cet accélérateur.
a2_master_dialogue_accelerator_control_there_isnt_nothing_much_to_know_buddy,"Y a rien à savoir, mon vieux. C'est la seule sortie de l'Amas des Badlands. Une installation privée faite pour séparer la racaille dans votre genre des gens honnêtes. Vous ne pourriez pas vous offrir le passage, même en volant la retraite de votre grand-mère jusqu'à la fin des temps."
a2_master_dialogue_cal_just_passing_through,On ne fait que passer.
a2_master_dialogue_accelerator_control_the_just_pass_through_somewhere_else,Vous ne pouvez pas passer par ici. C'est une installation privée. Quittez immédiatement le secteur.
a2_master_dialogue_league_patrol_wassup_cal,"Qu'est-ce qu'il y a, Cal ?"
a2_master_dialogue_clay_looks_like_one_of_our_patrols,On dirait une de nos patrouilles. Ils doivent chercher la base Marauder. Voyons ce qu'ils veulent.
a2_master_dialogue_league_patrol_didnt_expect_to_see_you_around_these_parts_cal,"Je m'attendais pas à vous voir par ici, Cal. On peut faire quelque chose ?"
a2_master_option_cal_any_sign_of_the_marauders,"Avez-vous trouvé la base des Marauders?"
a2_master_dialogue_cal_any_sign_of_the_marauders,"Eh bien, vous pourriez me dire que vous avez trouvé la base des Marauders."
a2_master_dialogue_league_patrol_not_a_sasuage_had_a_few_run_ins_with_their_patols,"On a fait chou blanc. On a eu quelques escarmouches avec des patrouilles Marauders, mais aucun signe de leur base. C'est comme s'ils s'étaient envolés."
a2_master_dialogue_league_patrol_weve_turned_this_system_upside_down,"On a fouillé cette saleté de système de fond en comble, et on n'a rien trouvé."
a2_master_dialogue_league_patrol_ninety_nine_percent_sure_that_there_ait_no_marauder_base_here,"Eh bien, on est à 90 pour cent certains qu'il n'y pas de grosse base Marauder par ici."
a2_master_dialogue_league_patrol_reackon_theres_no_marauder_bases,Ca m'étonnerait qu'il y ait des bases Marauder par ici.
a2_master_dialogue_cal_hows_things,Pas vraiment. Quoi de neuf ?
a2_master_dialogue_league_patrol_oh_yknow_could_be_better,"Oh, ça pourrait aller mieux. Je pourrais être à la maison en train de me boire une bière, d'apprendre à mes gosses à pêcher, et de me les rouler. Mais non, à la place de ça, je fouille l'espace à la recherche d'une base Marauder qui n'existe pas."
a2_master_dialogue_league_patrol_things_would_be_a_whole_lot_better,Tout irait mieux si nous pouvions trouver cette saleté de base Marauder.
a2_master_dialogue_league_patrol_pretty_good_we_whooped_a_marauder_patrol,"Ca va pas mal. Hier, on a éclaté une patrouille de Marauders sans perdre personne. Si seulement on pouvait trouver leur saleté de base...."
a2_master_dialogue_league_patrol_looking_up_now_we_got_the_marauders_on_the_run,"On a tenu la dragée haute aux Marauders. Du coup, ça va plutôt bien..."
a2_master_dialogue_league_patrol_things_are_good_cal_and_would_be_better_of_we_could_find_that_damn_marauder_base,"Vraiment bien, Cal. VRAIMENT bien ! Le moral est bon et nos chasseurs brûlent d'en découdre avec les Marauders. Mais ce serait quand même mieux si on pouvait localiser leur satanée base."
a2_master_dialogue_league_patrol_dont_ask,Question suivante.
a2_master_dialogue_league_patrol_gotta_fly_weve_got_a_few_more_places_to_search,"Bon, à plus tard. On a du pain sur la planche. Soyez prudent, Cal."
,
a2_master_kiwi,"The Kiwi"
a2_master_waste_not,"Waste Not"
a2_master_mca_control,"MCA STC"
Third_Way_Elders,"Anciens de la Third Way"
accelerator_control,"Contrôle d'Accélérateur de saut"
