
a2_master_stc_control,"RFK-Station, Eureka"
a2_master_dialogue_mca_we_are_a_democracy,"Dieses System wurde ursprünglich von der Jardin Corporation kontrolliert. Aber diese zog sich zurück, als sie das Terraformen vierer Planeten halb beendet hatte. Wir mussten Mwari stabilisieren, also gründeten wir auf demokratischem Wege die MCA. Wir sind praktisch unabhängig von der Regierung der Badlands, und das ist auch gut so. Allerdings bedeutet es auch, dass wir von der Regierung keine direkte Hilfe gegen die Übergriffe der Marauder erwarten können."
a2_master_dialogue_cal_tell_me_about_the_marauders,Sagen Sie mir etwas über die Marauder.
a2_master_dialogue_mca_the_marauders_have_been,"Die Marauder suchen Mwari schon seit fast zwei Jahren heim. Sie beherrschen mittlerweile einen Großteil des Systems, abgesehen von den vier Ballungsszentren Garden, Longshot, Sinecure und Cassandra. Das liegt teilweise daran, dass Mwaris wichtigster interstellarer Sprungpunkt nach Santa Romera leider sehr tief im Innern des Systems liegt. Es tut mir Leid, dass wir nicht weiter behilflich sein können."
a2_master_dialogue_mca_anything_else,Sonst noch etwas?
a2_master_dialogue_mca_sorry_we_cannot_be_of_further_help,Leider können wir Ihnen im Moment nicht weiter behilflich sein.
a2_master_dialogue_jafs_phew_things_seem_to_have_got_a_little_intense,"Hey! Halt mal, Cal! Lass dich nicht gleich mitreißen, ja? Ich meine, das Ganze wird mir ein bisschen zu heiß hier. Kaum verdienen wir uns einen sicheren, ehrlichen Lebensunterhalt als Piraten, da passiert so was! Wir werden mitten in einen echten Krieg gezerrt! Kriege sind gefährlich!"
a2_master_dialogue_smith_yeah_so_what_you_gonna_say_we_just_walk_away,"Ja? Na und? Willst du einfach gehen? Dann geh doch! Feigling! Da waren KINDER an Bord der Station! Leute, die es im Leben etwas besser haben wollten, und jetzt sind sie TOT. Ich sehe jedenfalls nicht zu, wie diese verdammten Marauder alles zerstören. Nicht, wenn ich sie fertig machen kann."
a2_master_dialogue_jafs_hey_you_got_me_wrong,"Hey, Mann! Du verstehst mich ganz falsch, ich bin kein Feigling. Vom Piraten zum Soldaten, das hört sich nach einem gefährlichen Abstieg an. Und wo bleibt der Profit? Hmmm... Andererseits ist Krieg vielleicht doch lukrativer als alles andere! Mann, ich bin dabei! Nur keine Selbstmordmissionen, okay? Und nenn mich nicht Feigling!"
a2_master_dialogue_ibuki_count_me_in,"Feigling! Und zu dir, Smith... Ich wusste gar nicht, dass du auch sensibel sein kannst. Auf mich kannst du zählen, Cal. So einen Einsatz wollte ich schon immer mal machen. Das Coyote-System auf der Suche nach Verbündeten zu bereisen, ist ein guter Anfang."
a2_master_dialogue_lori_me_too,"Ich bin auch dabei. Ich bin für alles, was Menschen hilft. Wir müssen uns endlich für etwas anderes einsetzen als Profit und Beute."
a2_master_dialogue_cal_so_its_decided_then,"Es ist also entschieden. Wir gehen auf Verbündetenjagd. Ich wünschte nur, wir könnten noch mehr tun..."
a2_master_dialogue_clay_back_in_yer_grandmas_day_mwari,"Zu Zeiten deiner Großmutter gab es für Mwari wirklich noch Hoffnung. Damals dachten die Leute, sie könnten hier etwas Großes aufbauen. Sie wollten das Terraformen der Hauptstadt Sinecure ohne Unterstützung der Unternehmen abschließen, und dann ging alles den Bach runter."
a2_master_dialogue_clay_firefrost_be_careful_in_this_system_cal,"Deine Großmutter und ich verbrachten einige Zeit hier in Firefrost. Das System ist so groß, dass sich darin ein Dutzend Flotten verlieren könnten. Es war also ein ideales Versteck, wenn's anderswo zu heiß wurde. Wo wir gerade von Hitze sprechen, bleib auf Abstand zum Hauptstern. Mach es wie der Rest der Leute hier und bleib in den äußeren Bereichen des Systems. "
a2_master_dialogue_clay_keep_your_eyes_peeled,"Halt auch die Augen nach Piraten auf. Zu Zeiten deiner Großmutter war Firefrost berüchtigt für seine Gesetzlosigkeit, und ich glaube nicht, dass hier seitdem die große Ehrlichkeit ausgebrochen ist."
a2_master_dialogue_clay_dont_worry_if_your_electronics,"Oh, und mach dir keine Sorgen, wenn die Elektronik ein bisschen spinnt. Hier gibt es einfach sehr viel Strahlung."
a2_master_dialogue_cal_spare_the_lecture_clay,"Hör mit den Belehrungen auf, Clay! Falls du es noch nicht gemerkt hast, ich kann ganz gut auf mich selbst aufpassen."
a2_master_dialogue_clay_hey_kid_just_offering_a_little_advice,"Hey, Junge, ich geb' dir doch nur ein paar Ratschläge. Vielleicht bist du die Nummer eins, wenn's ums Fliegen mit diesen Kisten hier geht, aber Firefrost ist kein Spielplatz, und du bist zum ersten Mal in diesem System."
a2_master_dialogue_cal_im_sorry_youre_right_youve_been_here_before,"Sorry, du hast ja Recht. Also, wohin wendet man sich als Neuankömmling hier?"
a2_master_dialogue_clay_ok_thats_more_like_it,"So ist's recht! Ein wenig Respekt hat noch keinem geschadet. Also, damals, bei deiner Großmutter, hingen die einheimischen Freelancer immer im Blue Note-Club bei Hyrokkin Beta rum. Das ist einer der Planeten des Firefrost III-Sterns."
a2_master_dialogue_cal_sounds_as_good_a_place,"Ja, da können wir uns als Erstes mal umsehen."
a2_master_dialogue_clay_me_and_your_grandma_didnt_spend_much_time_here,"Deine Großmutter und ich waren nicht lange im Kompira-System. Nur so lange, um zu merken, was für ein furchtbarer Ort das ist. Die Planeten sind entweder heiß wie Hochöfen oder kalt wie Eiskugeln, und die Gruppierungen dort bestehen aus den fiesesten Gestalten, die du dir vorstellen kannst. Kompira ist der deprimierendste Ort in den Badlands, wenn nicht sogar im gesamten All. "
a2_master_dialogue_cal_ever_thought_of_a_career_as_a_travel_guide,Schon mal an eine Karriere als Reiseleiter gedacht? Du hast das nämlich richtig gut drauf!
a2_master_dialogue_clay_this_is_santa_romera,"Das ist Santa Romera, Hauptstadt des Badlands-Sternhaufens. Sei vorsichtig, Cal, hier wimmelt's nur so von Polizei und Sicherheitsleuten der Unternehmen. Piraterie gilt hier in der Gegend nicht als Kavaliersdelikt."
a2_master_dialogue_smith_ah_cal_got_something_here_you_might_be_interested_in,"Äh, Cal, ich hab' ein bisschen rumgetüftelt und bin auf was gestoßen, das dich vielleicht interessiert..."
a2_master_dialogue_cal_dont_tell_me_youve_re_wired_the_coffee_machine_again,"Du hast doch nicht wieder die Kaffeemaschine umgebaut, oder? Das letzte Mal hatte ich den Geschmack eine Woche lang im Mund."
a2_master_dialogue_smith_better_than_that_ive_been_listening_to_sub_space_comms_channels,"Hatte ich dir doch gesagt, dass das keine Kaffemaschine ist, sondern der Schmierölerhitzer für meine Armprothese! Wie dem auch sei, jedenfalls habe ich die Subraum-Kommunikationskanäle angezapft, und ich glaub', ich hab' was gefunden. "
a2_master_dialogue_cal_listening_to_ther_folks_private_conversations,"Wenn ich mich recht erinnere, hast du nicht fürs Abhören anderer Leute gesessen?"
a2_master_dialogue_smith_yeah_but_this_is_sweet,"Ja. Und? Also, ich war gerade dabei, die echten Leckerbissen von dem langweiligen Zeug - du weißt schon, Börsenkurse, Nachrichten und ""Liebe Mama""-Mails - auszusortieren, als ich merkte, dass einige Nachrichten einen Extrakanal benutzen. Verschlüsselt mit absoluter Spitzentechnik. Wahrscheinlich vom Militär. Ich hab' also die Sendeschleife unter die Lupe genommen, und weißt du was? Die Nachrichten kommen alle aus Gegenden, die unter den Maraudern zu leiden hatten oder denen es unmittelbar bevorsteht. "
a2_master_dialogue_cal_so_what_do_these_messages_say,Und was besagen die Nachrichten? Haben wir jetzt Zugang zu Geheiminformationen der Marauder?
a2_master_dialogue_smith_well_theres_the_problem,"Da liegt genau der Haken. Ich kann diese Profi-Verschlüssellung nicht knacken, solange ich keines dieser Verschlüsselungsgeräte habe. Vorerst kann ich nur erkennen, wenn eine Marauder-Nachricht hier in der Nähe gesendet wird. Ich kann unsere Kommunikationssysteme so einstellen, dass sie diese Trägernachrichten aufspüren, was dich rechtzeitig warnen sollte, wenn Marauder in einem Umkreis von etwa 500 Kilometern aktiv werden."
a2_master_dialogue_cal_well_thats_better_than_nothing,"Das ist besser als nichts. Saubere Arbeit, Smith! Stell meine Kommunikationssysteme um. Es hat noch keinem geschadet, seine Gegner zu überwachen. "
a2_master_dialogue_smith_now_that_youve_retreived_that_marauder_encryption_device,"Jetzt wo wir ein Verschlüsselungsgerät der Marauder haben, habe ich all meine Informationen über die Übertragungssignale an die Schlaumeier der League gegeben. Die Wissenschaftler dort haben die Zeit und die Prozessorleistung, um sich mit der Verschlüsselung zu befassen, ich leider nicht. "
a2_master_dialogue_clay_the_blue_note_social,"Da wären wir: der Blue Note-Club. Als deine Großmutter noch lebte, ließ sich hier jeder blicken, der Rang und Namen hatte. Ich könnte dir Geschichten erzählen..."
a2_master_dialogue_cal_save_it,"Nicht jetzt, Clay. Sieht so aus, als wär's ganz schön bergab gegangen mit dem Laden. Und es ist doch etwas ruhiger, als du es beschrieben hast..."
a2_master_dialogue_mariana_welcome_to_the_blue_note_social_can_i_help_you,"Willkommen im Blue-Note-Club. Womit kann ich dienen, Süßer?"
a2_master_option_cal_im_looking_for_help_in_fighting_the_marauders,Ich suche nach Hilfe im Kampf gegen die Marauder...
a2_master_dialogue_cal_im_looking_for_help_in_fighting_the_marauders,Ich suche nach Hilfe im Kampf gegen die Marauder in Hoffer's Wake.
a2_master_dialogue_cal_im_looking_to_recruit_pilots,Ich möchte ein paar erstklassige Piloten anheuern.
a2_master_dialogue_mariana_wouldnt_know_about_that_speak_to_the_sherrif,Von so etwas hab' ich keine Ahnung. Da fragst du besser den Sheriff.
a2_master_dialogue_cal_where_can_i_find_this_sherriff,Wo kann ich diesen Sheriff finden?
a2_master_dialogue_mariana_the_sherriff_is_the_law,"Der Sheriff ist hier das Gesetz. Er ist das, was in Firefrost einem Regierungsvertreter am nächsten kommt. Er hat die hier Ansässigen zu einer Amateurmiliz geformt, um gegen die Marauder zu kämpfen. Er ist meistens in der Firefrost-Systemverwaltung im Orbit des Planeten Sunflower. "
a2_master_dialogue_cal_kind_of_quiet,Ist ziemlich ruhig hier...
a2_master_dialogue_mariana_well_your_freind_aint_been_here_for_some_time,"Früher war hier die Hölle los, aber jetzt muss ich bald schließen, wenn sich das Geschäft nicht erholt."
a2_master_dialogue_cal_so_where_did_everyone_go,Wo sind die ganzen Leute hin?
a2_master_dialogue_mariana_guess_folks_have_more_important_things_on_their_mind,"Die Leute haben Angst vor den Maraudern, stehen am Rande ihrer Existenz wegen der Marauder-Angriffe oder sind ganz einfach getötet worden. Diese Scheiß-Marauder! Hoffentlich löscht sie der Sheriff mit seiner Truppe aus! Dann ist hier wieder so richtig was los!"
a2_master_dialogue_cal_a_freind_of_mine,"Ein Freund von mir kam früher öfter hierher, aber es scheint etwas ruhiger zu sein, als er es in Erinnerung hatte."
a2_master_dialogue_cal_tell_me_about_firefrost,Erzähl mir etwas über Firefrost.
a2_master_dialogue_mariana_well_as_youve_seen_this_is_one_big_system,"Wie du gesehen hast, ist Firefrost ein riesiges System. Aber es hat viel weniger Einwohner als die anderen Systeme der Badlands. Hier kann's ziemlich hart werden, besonders für unvorsichtige Menschen. Wer hier seinen Lebensunterhalt verdient, ist entweder zäh, verzweifelt oder beides. Seit der Ankunft der Marauder ist es hier noch gefährlicher. Ein Großteil des inneren Systems war schon immer ein riskantes Reiseziel, jetzt aber ist es praktisch eine Sperrzone."
a2_master_dialogue_cal_goodbye,Auf Wiedersehen.
a2_master_dialogue_mariana_ok_be_seeing_you,"Okay, man sieht sich, Süßer!"
a2_master_dialogue_mariana_anything_else,Sonst noch was?
a2_master_dialogue_clay_well_i_guess_this_is_the_sherrifs_place,"Das ist wohl das Quartier des Sheriffs. Sollen wir andocken und sehen, ob er zu Hause ist?"
a2_master_dialogue_kane_what_can_i_do_for_you_boy,"Hallo. Ich bin Sheriff Kane. Was kann ich für dich tun, Junge?"
a2_master_dialogue_kane_id_like_to_help_you_boy,"Ich würd' dir gerne helfen, Junge, wirklich. Aber wir haben unsere eigenen Probleme, und die sind schlimm genug. "
a2_master_dialogue_cal_what_troubles,Was für Probleme?
a2_master_dialogue_kane_well_boy_we_got_ourselves_hurt_real_bad,"Also, Junge, diese Marauder-Schweine haben uns schwer getroffen. Die haben fast ein halbes Dutzend Heimstätten im System zerstört und zwei Trupps abgeschossen, die ihnen auf den Fersen waren. Wir haben hier keine Polizei oder Marine in schicken Uniformen, so wie in den anderen Systemen. Wir müssen hier auf uns selbst aufpassen. Ich organisiere gerade noch eine Truppe zum Gegenschlag. Ich sag' dir was: Weil du die Marauder hasst, darfst du mit uns fliegen. "
a2_master_dialogue_cal_sure,"Klar, ich bin dabei... "
a2_master_dialogue_kane_thats_ma_boy_you_scrath_our_back,"Braver Junge! Eine Hand wäscht die andere und so. Mein Plan sieht folgendermaßen aus: Wir schauen uns dort um, wo wir schon Marauder gesehen haben und zeigen ihnen, wo der Hammer hängt, wenn wir sie finden! Meine Truppe sammelt sich beim Mond-Fort Brooklyn in der Nähe vom Planeten Gefjon. Die sollen uns kennen lernen!"
a2_master_dialogue_cal_im_busy,"Tut mir Leid, aber ich hab' gerade zu tun..."
a2_master_dialogue_kane_suit_yourself,Wie du willst. Viel Glück bei deinem einsamen Kreuzzug gegen die Marauder!
a2_master_dialogue_cal_tell_me_about_this_mission,"Erzähl mir von der Truppe, die du organisierst."
a2_master_dialogue_kane_were_getting_a_posse_together,"Wir trommeln eine Truppe zusammen, um den Maraudern zu zeigen, wo's langgeht und ein paar von ihnen den Prozess zu machen. Wenn du mitmachen willst, kannst du die Jungs bei Fort Brooklyn treffen. Das ist ein Mond vom Planeten Gefjon. Wir wollen uns dort umschauen, wo wir schon mal Marauder gesehen haben, und ihnen dann eins überbraten!"
a2_master_dialogue_cal_people_around_here_seem_to_think_youre_in_charge_of_the_system,"Die Leute hier sagen, du hättest das System in der Hand."
a2_master_dialogue_kane_hell_no_boy,"Das ist Quatsch, Junge! Kein Mensch hat Firefrost in der Hand. Hier sind alle gleich. Ich versuch' nur zu verhindern, dass es ganz zerfällt. "
a2_master_dialogue_kane_this_is_the_plum_biggest,"Nun, das ist das größte System im erforschten Weltraum. Wir haben über dreihundert  Himmelskörper katalogisiert, und das sind nur die, die wir erforscht haben. Der Hauptstern von Firefrost ist ein gefährliches Ding, verdammt heiß, verdammt radioaktiv. Und deshalb halten wir uns meistens am Rand des Systems auf. Wir haben den Ruf, eine verdammt harte Siedlungsgrenze zu sein, und das stimmt auch. Hier gibt's Typen, die würde man aus jeder anständigen Stadt vertreiben. Aber wir Leute aus Firefrost passen aufeinander auf. Es gab Kämpfe, aber keinen großen Ärger... bis diese verdammten Marauder aufgetaucht sind."
a2_master_dialogue_kane_well_what_do_ya_wanna_know,"Na, was willst du wissen?"
a2_master_dialogue_kane_well_were_all_fighting_the_marauders_boy_i_appreciate_you_helping_us,"Tja, wir kämpfen alle gegen die Marauder. Diese Ratten greifen uns ja alle an. Ich würd' dir gerne helfen, wirklich. Aber im Moment kann ich kein einziges Schiff entbehren. Tut mir Leid, Junge. Solange wir nicht mit den Maraudern fertig sind, kann ich dir höchstens ein paar Handelsangebote machen. "
a2_master_dialogue_kane_ive_heard_on_the_grapeving_that_there_was_gonna_be_a_big_rukus,"Ich hab' gehört, irgendwer veranstaltet eine Hetzjagd auf die Marauder. Unsere Chance, ihnen endlich mal in die Suppe zu spucken! Tja, wenn deine MCA-Kumpel Piloten brauchen, dann kann ich nur sagen, wir haben ein paar der besten, kühnsten und erfahrensten Piloten, die du je gesehen hast. Ich flieg' mit meinen besten hundert Jungs an deiner Seite! "
a2_master_dialogue_kane_anything_else_boy,"Sonst noch was, Junge?"
a2_master_dialogue_third_way_get_lost_1,"Unbekanntes Schiff, diese Station ist Eigentum der Organisation ""Third Way"", die die erhabenen Menschen der Badlands repräsentiert. Du verletzt unseren Luftraum. Verlasse sofort dieses Gebiet, Mensch niederer Art."
a2_master_dialogue_third_way_get_lost_2,"Dies ist der Luftraum der Organisation ""Third Way"". Verlasse sofort dieses Gebiet, Mensch niederer Art."
a2_master_dialogue_third_way_get_lost_3,"Mensch niederer Art, du hast den Luftraum der Organisation ""Third Way"" verletzt. Komm dieser Station nicht näher, sonst werden wir Verteidigungsmaßnahmen einleiten!"
a2_master_dialogue_third_way_please_go_away_1,"Deine Dienste für den Third Way machen deine Anwesenheit hier noch lange nicht erwünscht, Mensch von niederer Art. Verlasse dieses Gebiet!"
a2_master_dialogue_third_way_please_go_away_2,"Unsere Lebensmitteltransporte sind nicht mehr der Bedrohung durch die Marauder ausgesetzt. Deine Anwesenheit ist nicht mehr erwünscht, Mensch niederer Art. Verlasse bitte dieses Gebiet!"
a2_master_dialogue_third_way_please_go_away_3,Wir halten Unterstützung durch Menschen niederer Art für unnötig. Verlasse bitte dieses Gebiet!
a2_master_dialogue_cal_now_you_just_listen_here,"Hör mir mal zu! Ich muss mir diesen Scheiß hier wirklich nicht länger geben! Ihr fanatischen, arroganten Drecksbauern müsst endlich mal in eure dicken Schädel kriegen, dass hier gerade ein Krieg stattfindet, den die Marauder gewinnen werden, wenn wir nicht alle zusammenarbeiten. Ich brauche Piloten, um diesen Krieg zu führen, und wenn ihr euch nicht nützlich machen wollt, fliege ich weg und lasse die Marauder einfach wieder rein. Ist das klar?"
a2_master_dialogue_clay_ungrateful_sons_of_bitches,"Undankbare Feiglinge! Wir helfen ihnen, den Maraudern kräftig einzuheizen, und das ist alles, was wir als Dank bekommen."
a2_master_dialogue_third_way_erm_got_to_the_headquarters,"Äh... ich habe nicht die Erlaubnis, solche... äh... Angelegenheiten mit einem Angehörigen einer... äh... niederen Art zu diskutieren. Wenn du die Angelegenheit besprechen willst, musst du zu unseren Ältesten. Die Systemverwaltung befindet sich im Orbit um den Planeten Eureka."
a2_master_dialogue_third_way_elders_go_away,"Wie bereits gesagt, ist deine weitere Anwesenheit in diesem System eine Störung unserer idyllischen Ruhe. Du bist hier und im Rest von Eureka unerwünscht. Geh bitte!"
a2_master_dialogue_cal_just_a_damn_minute,"Nur eine Minute, das ist ja wohl nicht zu viel verlangt... Ich habe ernste Angelegenheiten zu besprechen, die direkt in Zusammenhang mit der Sicherheit dieses Systems stehen. Auf meinen Reisen durch dieses bescheuerte System musste ich mir immer wieder den Stuss von euch arroganten, größenwahnsinnigen Versagern anhören! Es gibt jetzt zwei Möglichkeiten: Entweder gehe ich zu meinen Verbündeten und sage ihnen, sie sollen euch den Maraudern überlassen, - dann sehen wir ja, was euch dieses 'Menschen niederer Art'-Geschwätz bringt -, oder ich bleibe hier, und wir besprechen den Schutz eures Volks. Es liegt ganz bei euch."
a2_master_dialogue_third_way_elders_i_find_you_tone_insulting_and_offensive,"Ich finde deinen Ton beleidigend und unangebracht! Aber... wenn du Dinge besprechen willst, die für den Third Way von Vorteil sind, will ich darüber hinweg sehen. Docke an, und wir werden den Wert deiner Worte abwägen."
a2_master_dialogue_third_way_elders_we_have_provided_you_with_pilots_to_defeat_the_marauders,Wenige Menschen niederer Art erhalten Hilfe vom Third Way. Du kannst dich glücklich schätzen.
a2_master_dialogue_third_way_elders_so_what_do_you_wish_to_discuss,Du bist wirklich eine hartnäckige Nervensäge von einem Menschen niederer Art. Was willst du?
a2_master_dialogue_cal_mwari_needs_third_way_pilots,Mwari braucht Piloten.
a2_master_dialogue_cal_mwari_is_where_the_decisive_battle_agaisnt_the_marauders,"Es wird Zeit, dass ihr eure Schulden bei uns dafür begleicht, dass wir die Marauder aus Eureka verjagt haben. Mwari braucht Piloten, um gegen die Marauder zu kämpfen, und der Third Way soll ein Kontingent zur Verfügung stellen."
a2_master_dialogue_third_way_elders_is_that_so_a_little_respect,"Ach, tatsächlich, Mensch niederer Art. Was bildest du dir eigentlich ein, hier einfach herzukommen und solche Forderungen an die dir Überlegenen zu stellen?"
a2_master_dialogue_cal_i_apoligise_for_my_harsh_words,Entschuldigt meine schroffen Worte...
a2_master_dialogue_cal_i_apoligise_for_the_harshenss_of_my_words,"Okay, ich entschuldige mich für meine schroffen Worte, aber die Situation ist sehr kritisch, und wir haben keine Zeit für Nettigkeiten. Die Marauder wollen einen umfassenden Angriff auf das Mwari-System starten, und wir brauchen Hilfe, um es zu verteidigen."
a2_master_dialogue_third_way_elders_this_is_perhaps_appreciated,"Das ist sehr ehrenwert, vielleicht. Aber was hat das alles mit dem Third Way zu tun?"
a2_master_dialogue_cal_im_sorry_for_offending_you,"Ich entschuldige mich, falls ich etwas ausfallend war. Es wird nicht wieder vorkommen."
a2_master_dialogue_third_way_elders_only_to_be_expected,Das sollte man erwarten. Und trotzdem zweifle ich an deinem Versprechen. Ihr Menschen niederer Art beleidigt die Leute vom Third Way schon mit eurer bloßen Gegenwart. Ihr widert uns an.
a2_master_dialogue_cal_only_the_third_way_can_help,"Der Third Way ist die einzige Gruppierung, die helfen kann."
a2_master_dialogue_cal_only_the_third_way_can_help_the_sitation,"Nur der Third Way kann die Situation lösen. Mwari braucht Piloten erster Güte, um gegen die Bedrohung durch die Marauder anzugehen. Eure Disziplin und eure Hingabe garantieren, dass ihr genau die richtigen Leute zur Verfügung stellen könnt. Natürlich erwarten wir nicht, dass ihr selbstlos handelt. Aber ihr müsst einsehen, dass eine Niederlage Mwaris die Marauder stärkt und dass euer System das nächste Opfer werden könnte, wenn sie in den Badlands einfallen. "
a2_master_dialogue_cal_your_arrogance_is_getting_us_nowhere_1,Eure Arroganz hilft keinem weiter.
a2_master_dialogue_cal_your_arrogance_is_getting_us_nowhere_2,Eure Arroganz hilft keinem weiter. Kommt mal von eurem hohen Ross runter und hört zu! Wir brauchen dringend eure Hilfe.
a2_master_dialogue_third_way_elders_im_listening_then_mr_johnstone_just_hope_its_worthwhile,"Ich höre, Mr. Johnston. Und ich hoffe für dein Wohl, dass das, was du uns zu sagen hast, uns nicht nur unsere Zeit raubt."
a2_master_dialogue_cal_tell_me_about_the_third_way,Erzähl mir etwas über den Third Way.
a2_master_dialogue_third_way_elders_none_of_your_business,"Der Third Way geht dich nichts an, Mensch niederer Art."
a2_master_dialogue_third_way_elders_how_dare_you_dock_to_this_station,"Mensch niederer Art! Wie kannst du es wagen, mit deinem Andocken unsere Station zu verunreinigen?! Entferne dich sofort!"
a2_master_dialogue_third_way_elders_you_are_an_niteresting_character_for_a_lower_caste,"Für ein Mitglied der niederen Art bist du ein interessanter Mann, Cal Johnston. Und was du zu sagen hast, klingt oft wahr. Vielleicht könnten wir für diese Sache ein paar Piloten zur Verfügung stellen. Aber nur weil die Marauder eine größere Bedrohung darstellen als die ideologische Verschmutzung, die unsere Piloten erleben werden, wenn sie mit euch Menschen niederer Art in Kontakt kommen. Wir stellen einhundert unserer besten Piloten in den Dienst eurer Sache. Verlasse jetzt diesen Ort, Cal Johnston!"
a2_master_dialogue_third_way_elders_good_riddance,Zum Glück sind wir den los!
a2_master_dialogue_clay_looks_like_the_locals_have_spotted_us,"Sieht so aus, als hätten uns die Einheimischen entdeckt. Hoffentlich sind sie uns freundlich gesinnt."
a2_master_dialogue_freelancer_ho_there_stranger_heave_too,Hallo Fremder. Hier spricht die Miliz von Coyote. Flieg ran und identifizier dich!
a2_master_dialogue_clay_they_dont_look_like_marauders_perhaps_we_should_do_as_they_say,"Diese Typen sehen nicht wie Marauder aus und verhalten sich auch nicht so. Tu besser, was sie sagen! Aber halt die Augen offen, falls sie irgendwas vorhaben."
a2_master_dialogue_freelancer_what_is_your_business_here,"Hallo Fremder. Wir bekommen nicht oft unerwarteten Besuch. Die meisten Fremden, die herkommen, wollen nur Ärger. Was willst du hier?"
a2_master_dialogue_freelancer_join_the_club_pal,"Willkommen im Club, Kumpel! Denkst du etwa, wir bewachen die L-Punkte nur, um ein paar harmlose Fremde zu belästigen? Die Marauder haben hier zugeschlagen. Viele gute Leute haben ihr Leben verloren."
a2_master_dialogue_freelancer_sright_we_aint_soliders,"Stimmt, wir sind keine Soldaten. Wir befinden uns nur im Dienst des Trupps von Freddie Jackson."
a2_master_dialogue_cal_freddie_jackson,Freddie Jackson? Wer ist das?
a2_master_dialogue_freelancer_freddie_jackson_knows_more_about_the_goings_on_around_here,"Freddie Jackson hat mehr Ahnung von dem, was hier passiert, als sonstwer. Es war seine Idee, dass wir die L-Punkte bewachen. Dadurch wurden wir von Marauder-Angriffen nicht mehr so überrascht. Wenn du neu im System bist, solltest du mal mit ihm quatschen. Du findest ihn in seiner Werkstatt beim Planeten Peacock."
a2_master_dialogue_freelancer_you_aint_just_gonna_let_him_go,"Du lässt ihn doch nicht einfach gehen, oder, Cletus? Jackson hat gesagt, wir sollen alle Schiffe durchsuchen, die hier vorbeikommen."
a2_master_dialogue_freelancer_shoot_elmo_if_we_search_everything,"Mann, Elmo! Wenn wir jedes blöde Schiff durchsuchen, das hier vorbeikommt, sind wir noch bis zum jüngsten Tag hier. Sieht er aus wie ein Marauder? Nee! Kein schwarzer Anstrich. Verhält er sich wie ein Marauder? Nee! Hat noch nicht versucht, uns die Birne wegzuschießen. "
a2_master_dialogue_freelancer_shoot_listen_to_this_feller_cleitus,"Hör dir den Typ an, Elmo. Denkt wohl, wir sind Soldaten oder so!"
a2_master_dialogue_freelancer_sure_think_he_does_elmo,"Genau so hört sich's an, Cletus."
a2_master_dialogue_freelancer_well_stranger_i_think_your_mistaken,"Nein, Fremder. Wenn du meinst, wir hätten 'nen Anführer, liegst du leider falsch. Wir sind ganz normale Leute, die ihr Zuhause vor den Maraudern beschützen. Der alte Freddie Jackson ist wohl der, den man am ehesten 'Commander' nennen könnte. "
a2_master_dialogue_freelancer_just_you_wait_one_minute_boy,"Jetzt wart mal 'ne Sekunde, Junge. Woher wollen wir wissen, dass du kein Marauder bist?"
a2_master_dialogue_cal_well_erm,"Nun, äh..."
a2_master_dialogue_freelancer_ah_shoot_elmo_he_aint_not_marauder,"Ach Mann, Elmmo, das is kein Marauder. Freddie Jackson sagt, dass Marauder-Schiffe schwarz sein müssen. Und wenn's ein Marauder wäre, glaubst du nicht, der hätte schon längst geschossen?"
a2_master_dialogue_freelancer_guess_yer_lucky_boy,"Glück gehabt, Junge. Wenn du nach Freddie Jacksons Standards kein Marauder bist, dann bist du wohl wirklich keiner. Der alte Freddie weiß 'ne Menge, und ich leg' mich nicht mit ihm an."
a2_master_dialogue_accelerator_control_unidentified_ship_this_area_is_restricted_to_corporate_traffic_please_state_your_business,"Achtung, unbekanntes Schiff. Dieser Abschnitt ist dem Handelsverkehr vorbehalten. Geben Sie umgehend Ihre Absichten an."
a2_master_dialogue_cal_just_signtseeing,Bin nur auf Besichtigungsreise...
a2_master_dialogue_accelerator_control_as_i_said_this_is_restricted_coporate,Dies ist eine Sperrzone der Unternehmen. Der Beschleuniger ist eine Einrichtung in Privatbesitz. Besichtigung ist nicht gestattet. Verlassen Sie sofort dieses Gebiet!
a2_master_dialogue_clay_these_folks_aint_too_freindly,"Wenn man bedenkt, dass der Beschleuniger der einzige Weg in die Badlands und aus den Badlands raus ist, sind die ja nicht gerade gastfreundlich. Die Unternehmen haben wohl kein Interesse daran, Leute in die Kernsysteme reisen zu lassen."
a2_master_dialogue_cal_how_do_i_get_through_the_accelerator,Wie reise ich durch den Beschleuniger?
a2_master_dialogue_accelerator_control_in_a_word_buddy_you_dont,"Merk dir eins, Freundchen: gar nicht. Der Sprungbeschleuniger ist eine Einrichtung, die sich in Privatbesitz befindet. Die Durchreise ist nur lizenzierten Frachtern gestattet. Du könntest eine private Durchreise erwerben. Für ungefähr drei MILLIONEN Credits! Und das ist mehr Geld, als Abschaum wie du sich vorstellen kann. Jetzt hau ab, bevor ich den Sicherheitsdienst rufe."
a2_master_dialogue_cal_just_want_to_know_about_the_accelerator,Ich will nur etwas über den Beschleuniger wissen.
